RS,LR_Tr_Acc,LR_Te_Acc,LR_TN,LR_FN,LR_FP,LR_TP,LR_corr,SV_Tr_Acc,SV_Te_Acc,SV_TN,SV_FN,SV_FP,SV_TP,SV_corr,TR_Tr_Acc,TR_Te_Acc,TR_TN,TR_FN,TR_FP,TR_TP,TR_corr,KNN_Tr_Acc,KNN_Te_Acc,KNN_TN,KNN_FN,KNN_FP,KNN_TP,KNN_corr
0,0.847222222222222,0.833333333333333,4,1,2,11,0.833333333333333,0.847222222222222,0.833333333333333,4,1,2,11,0.833333333333333,0.902777777777777,0.777777777777777,4,1,2,11,0.833333333333333,0.861111111111111,0.777777777777777,3,1,3,11,0.777777777777778
1,0.861111111111111,0.888888888888888,4,0,2,12,0.888888888888889,0.861111111111111,0.888888888888888,4,0,2,12,0.888888888888889,0.902777777777777,0.666666666666666,4,0,2,12,0.888888888888889,0.888888888888888,0.777777777777777,3,1,3,11,0.777777777777778
2,0.847222222222222,0.833333333333333,3,0,3,12,0.833333333333333,0.847222222222222,0.833333333333333,3,0,3,12,0.833333333333333,0.888888888888888,0.833333333333333,3,0,3,12,0.833333333333333,0.847222222222222,0.833333333333333,3,0,3,12,0.833333333333333
3,0.833333333333333,0.888888888888888,4,2,0,12,0.888888888888889,0.847222222222222,0.888888888888888,4,2,0,12,0.888888888888889,0.916666666666666,0.833333333333333,4,2,0,12,0.888888888888889,0.833333333333333,0.944444444444444,4,1,0,13,0.944444444444444
4,0.833333333333333,0.722222222222222,3,0,5,10,0.722222222222222,0.861111111111111,0.777777777777777,4,0,4,10,0.777777777777778,0.916666666666666,0.555555555555555,4,0,4,10,0.777777777777778,0.875000000000000,0.777777777777777,4,0,4,10,0.777777777777778
5,0.833333333333333,0.888888888888888,3,0,2,13,0.888888888888889,0.833333333333333,0.888888888888888,3,0,2,13,0.888888888888889,0.888888888888888,0.833333333333333,3,0,2,13,0.888888888888889,0.861111111111111,0.833333333333333,3,1,2,12,0.833333333333333
6,0.833333333333333,0.944444444444444,4,0,1,13,0.944444444444444,0.833333333333333,0.944444444444444,4,0,1,13,0.944444444444444,0.888888888888888,0.888888888888888,4,0,1,13,0.944444444444444,0.819444444444444,0.944444444444444,4,0,1,13,0.944444444444444
7,0.861111111111111,0.722222222222222,2,0,5,11,0.722222222222222,0.861111111111111,0.722222222222222,2,0,5,11,0.722222222222222,0.902777777777777,0.611111111111111,2,0,5,11,0.722222222222222,0.875000000000000,0.666666666666666,2,1,5,10,0.666666666666667
8,0.805555555555555,0.888888888888888,2,0,2,14,0.888888888888889,0.819444444444444,0.944444444444444,3,0,1,14,0.944444444444444,0.902777777777777,0.888888888888888,3,0,1,14,0.944444444444444,0.833333333333333,0.833333333333333,1,0,3,14,0.833333333333333
9,0.833333333333333,0.888888888888888,1,1,1,15,0.888888888888889,0.833333333333333,0.944444444444444,1,0,1,16,0.944444444444444,0.875000000000000,0.944444444444444,1,0,1,16,0.944444444444444,0.847222222222222,0.944444444444444,1,0,1,16,0.944444444444444
